Date,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
1965-01,4.92,2.7,5.49,4.93,4.55,1.85,5.33,5.41,5.01,4.76,4.91,4.21,2.01,1.79,5.09,5.59,6.99,3.92
1965-02,1.1,0.07,2.03,0.84,1.67,-0.32,0.61,3.08,-0.12,2.95,1.52,1.81,-1.0,-0.05,0.45,0.78,2.9,3.26
1965-03,-0.85,-1.35,-0.92,-1.03,-0.8,-1.48,-0.23,-2.2,-1.62,0.21,-0.55,-1.05,-2.1,-1.24,-1.04,0.62,-2.49,-1.91
1965-04,2.48,3.18,5.29,2.62,2.23,3.55,3.47,5.91,2.44,3.0,2.24,2.23,0.93,4.58,2.39,4.57,4.35,7.4
1965-05,0.39,-0.38,-0.22,0.8,-0.33,-0.47,-0.06,-0.33,1.52,-0.69,-0.27,-0.39,-0.55,-0.44,-0.03,-0.08,-0.41,-0.26
1965-06,-6.14,-4.07,-6.2,-6.34,-5.06,-3.87,-5.16,-6.67,-5.91,-7.25,-5.81,-4.35,-3.01,-4.19,-4.68,-5.64,-6.39,-6.93
1965-07,1.69,1.39,1.92,1.69,1.3,2.29,0.71,3.0,1.35,2.05,1.69,1.02,1.9,2.57,0.82,0.55,1.63,4.3
1965-08,2.54,2.5,4.18,3.04,1.81,3.02,2.91,5.08,2.58,3.52,2.1,1.61,2.98,3.04,2.84,3.01,4.91,5.24
1965-09,4.08,3.06,3.1,4.38,3.99,3.17,2.21,3.42,3.85,4.92,3.81,4.12,2.88,3.38,1.87,2.68,4.06,2.83
1965-10,2.77,2.5,3.47,3.58,3.35,2.32,1.66,4.0,4.0,3.15,2.05,4.28,2.23,2.38,0.87,2.76,3.41,4.56
1965-11,-0.26,-0.86,2.44,1.23,-1.52,0.78,-0.76,3.48,1.13,1.32,-1.6,-1.46,2.12,-0.19,-2.06,1.04,5.21,1.87
1965-12,1.39,1.14,0.95,1.01,1.27,0.96,1.24,1.07,1.31,0.71,1.75,0.93,0.27,1.48,1.58,0.79,2.82,-0.6
1966-01,0.54,0.48,1.55,3.0,-0.74,1.18,0.25,2.49,1.54,4.49,-1.7,-0.05,1.41,1.0,0.24,0.26,2.4,2.58
1966-02,-2.52,-1.5,0.94,-1.45,-2.84,-1.57,-0.96,2.67,-1.78,-1.11,-3.55,-2.35,-1.88,-1.34,-0.54,-1.52,1.54,3.77
1966-03,-1.34,-2.92,-1.07,-2.47,-2.21,-2.78,-2.09,-0.67,-3.89,-1.07,-0.25,-3.58,-3.21,-2.47,-2.39,-1.67,-1.29,-0.08
1966-04,2.09,1.68,3.84,2.13,0.8,1.96,2.67,5.07,0.7,3.49,2.05,-0.09,2.42,1.62,3.17,1.99,4.6,5.51
1966-05,-5.83,-5.09,-4.53,-6.36,-5.55,-5.19,-4.29,-4.76,-5.79,-6.9,-5.32,-5.72,-5.37,-5.06,-4.36,-4.19,-5.18,-4.37
1966-06,-0.14,-1.57,-0.99,-0.69,-1.06,-2.16,-0.75,-0.81,-0.87,-0.52,0.38,-2.13,-1.71,-2.48,-0.37,-1.27,-0.04,-1.53
1966-07,-0.29,-0.73,-3.14,-0.56,-0.38,-0.77,-1.63,-3.14,-1.91,0.11,-0.04,-0.62,-1.03,-0.46,-0.77,-3.15,-2.71,-3.38
1966-08,-7.14,-7.25,-8.06,-7.53,-6.57,-7.54,-6.86,-10.01,-9.43,-6.61,-6.78,-6.42,-7.76,-7.27,-7.56,-5.59,-7.86,-11.21
1966-09,0.25,0.42,-3.62,0.18,0.87,0.62,-1.95,-2.82,-0.88,0.68,0.32,1.27,-0.23,1.61,-0.46,-4.59,-3.21,-2.59
1966-10,6.26,5.23,1.03,4.48,8.16,5.22,1.86,1.81,0.87,6.14,7.91,8.34,6.74,3.45,2.83,0.07,0.54,2.55
1966-11,-1.25,0.86,6.47,0.22,-1.39,0.42,2.92,8.65,2.1,-0.6,-2.58,-0.54,-0.79,1.86,2.51,3.72,5.16,10.62
1966-12,0.95,0.68,-0.82,2.03,0.67,0.38,0.1,-0.74,2.83,1.67,-0.06,1.18,-0.22,1.07,0.64,-0.92,2.7,-2.58
