Date,Mom
1965-01,-1.39
1965-02,0.24
1965-03,0.17
1965-04,2.53
1965-05,0.56
1965-06,-3.18
1965-07,4.09
1965-08,2.57
1965-09,3.28
1965-10,3.44
1965-11,4.41
1965-12,-0.1
1966-01,5.25
1966-02,4.59
1966-03,1.46
1966-04,5.93
1966-05,-4.73
1966-06,3.24
1966-07,-1.3
1966-08,-2.21
1966-09,-1.87
1966-10,-5.2
1966-11,5.76
1966-12,0.99
1967-01,-6.94
1967-02,3.51
1967-03,1.39
1967-04,0.52
1967-05,0.65
1967-06,6.01
1967-07,-1.08
1967-08,-1.33
1967-09,2.39
1967-10,3.64
1967-11,1.22
1967-12,3.21
1968-01,-4.49
1968-02,-3.36
1968-03,3.19
1968-04,5.13
1968-05,3.77
1968-06,-2.1
1968-07,-0.88
1968-08,1.93
1968-09,-0.68
1968-10,-1.44
1968-11,1.79
1968-12,0.32
1969-01,-0.13
1969-02,-2.5
1969-03,4.06
1969-04,1.1
1969-05,1.77
1969-06,-2.3
1969-07,1.81
1969-08,2.1
1969-09,2.41
1969-10,-4.36
1969-11,3.68
1969-12,5.27
1970-01,0.56
1970-02,0.27
1970-03,-0.37
1970-04,-0.83
1970-05,-2.66
1970-06,5.63
1970-07,-3.11
1970-08,-6.73
1970-09,-8.64
1970-10,9.46
1970-11,2.6
1970-12,-2.29
1971-01,-6.85
1971-02,0.83
1971-03,-1.36
1971-04,1.34
1971-05,0.93
1971-06,2.69
1971-07,-2.32
1971-08,3.45
1971-09,2.1
1971-10,0.5
1971-11,1.51
1971-12,-0.61
1972-01,0.07
1972-02,2.53
1972-03,2.94
1972-04,2.79
1972-05,3.33
1972-06,1.9
1972-07,2.68
1972-08,-5.36
1972-09,1.82
1972-10,0.7
1972-11,-5.08
1972-12,4.95
1973-01,3.82
1973-02,2.18
1973-03,3.55
1973-04,6.35
1973-05,7.18
1973-06,4.31
1973-07,-11.66
1973-08,3.59
1973-09,-6.98
1973-10,6.78
1973-11,8.78
1973-12,10.16
1974-01,-8.91
1974-02,0.37
1974-03,-1.0
